,Facility,Year,Media Type,Chemical,Releases (lb),Parent_Company
0,RED DOG OPERATIONS - 99752RDDGP90MIL,2007,Air,Methanol,228423.0,TECK AMERICAN INC
1,RED DOG OPERATIONS - 99752RDDGP90MIL,2007,Air,Zinc and zinc compounds,23076.0,TECK AMERICAN INC
2,RED DOG OPERATIONS - 99752RDDGP90MIL,2007,Air,Lead and lead compounds,9244.0,TECK AMERICAN INC
3,RED DOG OPERATIONS - 99752RDDGP90MIL,2007,Air,Copper and copper compounds,252.0,TECK AMERICAN INC
4,RED DOG OPERATIONS - 99752RDDGP90MIL,2007,Air,Cadmium and cadmium compounds,95.0,TECK AMERICAN INC
5,RED DOG OPERATIONS - 99752RDDGP90MIL,2007,Air,Polycyclic aromatic compounds,10.4,TECK AMERICAN INC
6,RED DOG OPERATIONS - 99752RDDGP90MIL,2007,Air,Mercury and mercury compounds,9.0,TECK AMERICAN INC
7,RED DOG OPERATIONS - 99752RDDGP90MIL,2007,Air,Chromium and chromium compounds,3.0,TECK AMERICAN INC
8,RED DOG OPERATIONS - 99752RDDGP90MIL,2007,Air,Manganese and manganese compounds,3.0,TECK AMERICAN INC
9,RED DOG OPERATIONS - 99752RDDGP90MIL,2007,Air,Nickel and nickel compounds,2.0,TECK AMERICAN INC
10,RED DOG OPERATIONS - 99752RDDGP90MIL,2007,Air,Dioxin and dioxin-like compounds,0.00039249,TECK AMERICAN INC
31,RED DOG OPERATIONS - 99752RDDGP90MIL,2008,Air,Methanol,246961.0,TECK AMERICAN INC
32,RED DOG OPERATIONS - 99752RDDGP90MIL,2008,Air,Zinc and zinc compounds,21455.0,TECK AMERICAN INC
33,RED DOG OPERATIONS - 99752RDDGP90MIL,2008,Air,Lead and lead compounds,7629.0,TECK AMERICAN INC
34,RED DOG OPERATIONS - 99752RDDGP90MIL,2008,Air,Copper and copper compounds,496.0,TECK AMERICAN INC
35,RED DOG OPERATIONS - 99752RDDGP90MIL,2008,Air,Cadmium and cadmium compounds,95.0,TECK AMERICAN INC
36,RED DOG OPERATIONS - 99752RDDGP90MIL,2008,Air,Polycyclic aromatic compounds,10.5,TECK AMERICAN INC
37,RED DOG OPERATIONS - 99752RDDGP90MIL,2008,Air,Mercury and mercury compounds,10.0,TECK AMERICAN INC
38,RED DOG OPERATIONS - 99752RDDGP90MIL,2008,Air,Manganese and manganese compounds,4.0,TECK AMERICAN INC
39,RED DOG OPERATIONS - 99752RDDGP90MIL,2008,Air,Chromium and chromium compounds,3.0,TECK AMERICAN INC
40,RED DOG OPERATIONS - 99752RDDGP90MIL,2008,Air,Nickel and nickel compounds,3.0,TECK AMERICAN INC
41,RED DOG OPERATIONS - 99752RDDGP90MIL,2008,Air,Dioxin and dioxin-like compounds,0.00039249,TECK AMERICAN INC
63,RED DOG OPERATIONS - 99752RDDGP90MIL,2009,Air,Methanol,241392.0,TECK AMERICAN INC
64,RED DOG OPERATIONS - 99752RDDGP90MIL,2009,Air,Zinc and zinc compounds,20594.0,TECK AMERICAN INC
65,RED DOG OPERATIONS - 99752RDDGP90MIL,2009,Air,Lead and lead compounds,6592.0,TECK AMERICAN INC
66,RED DOG OPERATIONS - 99752RDDGP90MIL,2009,Air,Copper and copper compounds,496.0,TECK AMERICAN INC
67,RED DOG OPERATIONS - 99752RDDGP90MIL,2009,Air,Cadmium and cadmium compounds,95.0,TECK AMERICAN INC
68,RED DOG OPERATIONS - 99752RDDGP90MIL,2009,Air,Polycyclic aromatic compounds,11.3,TECK AMERICAN INC
69,RED DOG OPERATIONS - 99752RDDGP90MIL,2009,Air,Mercury and mercury compounds,9.0,TECK AMERICAN INC
70,RED DOG OPERATIONS - 99752RDDGP90MIL,2009,Air,Manganese and manganese compounds,4.0,TECK AMERICAN INC
71,RED DOG OPERATIONS - 99752RDDGP90MIL,2009,Air,Chromium and chromium compounds,3.0,TECK AMERICAN INC
72,RED DOG OPERATIONS - 99752RDDGP90MIL,2009,Air,Nickel and nickel compounds,3.0,TECK AMERICAN INC
73,RED DOG OPERATIONS - 99752RDDGP90MIL,2009,Air,Dioxin and dioxin-like compounds,0.000412335,TECK AMERICAN INC
93,RED DOG OPERATIONS - 99752RDDGP90MIL,2010,Air,Methanol,204933.0,TECK AMERICAN INC
94,RED DOG OPERATIONS - 99752RDDGP90MIL,2010,Air,Zinc and zinc compounds,17481.0,TECK AMERICAN INC
95,RED DOG OPERATIONS - 99752RDDGP90MIL,2010,Air,Lead and lead compounds,7039.0,TECK AMERICAN INC
96,RED DOG OPERATIONS - 99752RDDGP90MIL,2010,Air,Naphthalene,348.0,TECK AMERICAN INC
97,RED DOG OPERATIONS - 99752RDDGP90MIL,2010,Air,Copper and copper compounds,78.0,TECK AMERICAN INC
98,RED DOG OPERATIONS - 99752RDDGP90MIL,2010,Air,Polycyclic aromatic compounds,11.6,TECK AMERICAN INC
99,RED DOG OPERATIONS - 99752RDDGP90MIL,2010,Air,Mercury and mercury compounds,8.0,TECK AMERICAN INC
100,RED DOG OPERATIONS - 99752RDDGP90MIL,2010,Air,Manganese and manganese compounds,5.0,TECK AMERICAN INC
101,RED DOG OPERATIONS - 99752RDDGP90MIL,2010,Air,Chromium and chromium compounds,4.0,TECK AMERICAN INC
102,RED DOG OPERATIONS - 99752RDDGP90MIL,2010,Air,Nickel and nickel compounds,3.0,TECK AMERICAN INC
103,RED DOG OPERATIONS - 99752RDDGP90MIL,2010,Air,Dioxin and dioxin-like compounds,0.000425565,TECK AMERICAN INC
121,RED DOG OPERATIONS - 99752RDDGP90MIL,2011,Air,Methanol,354168.0,TECK AMERICAN INC
122,RED DOG OPERATIONS - 99752RDDGP90MIL,2011,Air,Zinc and zinc compounds,17192.0,TECK AMERICAN INC
123,RED DOG OPERATIONS - 99752RDDGP90MIL,2011,Air,Lead and lead compounds,7270.0,TECK AMERICAN INC
124,RED DOG OPERATIONS - 99752RDDGP90MIL,2011,Air,Naphthalene,352.0,TECK AMERICAN INC
125,RED DOG OPERATIONS - 99752RDDGP90MIL,2011,Air,Cadmium and cadmium compounds,108.0,TECK AMERICAN INC
126,RED DOG OPERATIONS - 99752RDDGP90MIL,2011,Air,Copper and copper compounds,77.0,TECK AMERICAN INC
127,RED DOG OPERATIONS - 99752RDDGP90MIL,2011,Air,Polycyclic aromatic compounds,12.0,TECK AMERICAN INC
128,RED DOG OPERATIONS - 99752RDDGP90MIL,2011,Air,Mercury and mercury compounds,8.0,TECK AMERICAN INC
129,RED DOG OPERATIONS - 99752RDDGP90MIL,2011,Air,Chromium and chromium compounds,3.0,TECK AMERICAN INC
130,RED DOG OPERATIONS - 99752RDDGP90MIL,2011,Air,Manganese and manganese compounds,3.0,TECK AMERICAN INC
131,RED DOG OPERATIONS - 99752RDDGP90MIL,2011,Air,Nickel and nickel compounds,3.0,TECK AMERICAN INC
132,RED DOG OPERATIONS - 99752RDDGP90MIL,2011,Air,Dioxin and dioxin-like compounds,0.0004275494999999999,TECK AMERICAN INC
